what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1606830488784
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1606830488784
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1606830488797
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1606830488810
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1606830488810
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1606830488810
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1606830488810
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1606830488810
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1606830488823
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1606830488823
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1606830488823
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1606830488823
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1606830488823
os,sysinfo,,,"win32",1606830488836
arch,sysinfo,,,"x86",1606830488836
ws,sysinfo,,,"win32",1606830488836
locale,sysinfo,,,"fr_FR",1606830488836
processors,sysinfo,,,"4",1606830488836
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1606830488836
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1606830488836
java.specification.name,sysinfo,,,"Java Platform API Specification",1606830488836
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606830488836
java.specification.version,sysinfo,,,"1.6",1606830488836
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1606830488836
java.version,sysinfo,,,"1.6.0_23",1606830488836
java.vm.info,sysinfo,,,"mixed mode",1606830488836
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1606830488836
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1606830488836
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1606830488836
java.vm.specification.version,sysinfo,,,"1.0",1606830488836
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1606830488836
java.vm.version,sysinfo,,,"19.0-b09",1606830488836
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1606830488875
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1606830489003
